Office Name,Country,Office Address,Post/ZIP Code,Latitude,Longitude
1. All working location documents,All,,,,
Abingdon (Fusion Office),United Kingdom,"Culham Innovation Centre, D5 Culham Science Centre,",OX14 3DB,51.6583007,-1.230934939
Abingdon (NCorrosion Lab),United Kingdom,"Part of Bldgs E1, Room G26, G45 and G29/33",,,
Aix-en-Provence,France,"Horizon Ste Victoire Bt B
970rue Rene Descartes
Aix-en-Provence
13857",13857,43.49494707,5.348960793
Barrow-in-Furness,United Kingdom,"Furness business Park
Iron works Road
Barrow-in-Furness
LA14 2PN",LA14 2PN,54.11849,-3.24167
Barrow-in-Furness,United Kingdom,"Furness business Park
Unit 1
Barrow-in-Furness
LA14 2PE",LA14 2PE,54.11867,-3.23968
Barton upon Humber,United Kingdom,"Humber Road,
Barton Upon Humber,
DN18 5BN",DN18 5BN,53.69085,-0.44653
Beckermet,United Kingdom,"BIE - Unit 28, Energy Coast Business Park, Beckermet, Haile, Egremont, Cumbria CA22 2NH.",CA22 2NH,54.46315,-3.50506
Bohunice Paderovce,Slovakia,"SVK Hlavna 
Paderovce 71,72
Bohunice 
Slovakia",,48.49179157,17.63264178
Bristol - Glass Wharf,United Kingdom,"4th Floor West Wing, 
1 Glass Wharf,
Temple Quay
Bristol
BS2 0FF",BS2 0FF,51.45222492,-2.581008259
Brno (Trnita),Czech Republic,"Krenova 184/58,
Trnita
60200
BRNO",60200,49.19108196,16.62331639
Bristol - Argentum House,United Kingdom,"Coldharbour Lane,
510 Bristol Business Park
Bristol
BS16 1EJ",BS16 1EJ,51.50301,-2.54182
Cape Town Atlantic House,South Africa,"Atlantic House, Offices 1 & 2
2 5th Ave
Melkbosstrand
Cape Town
7441
South Africa",7441,"-33.731481814909465, 18.441630591787572",18.44163059
Cardiff,United Kingdom,"Churchill House,
17 Churchill Way
Cardiff
CF10 2HH",CF10 2HH,51.48187,-3.1724
Dorchester Kings Point House,United Kingdom,"Queen Mary Square
Poundbury
Dorchester
DT1 3BW",DT1 3BW,50.71525,-2.46693
Edinburgh,United Kingdom,"Spaces,  1 Lochrin Square,  92-94 Fountainbridge, Edinburgh.  EH3 9QA",EH3 9QA,55.944,-3.208
Egremont,United Kingdom,"Unit 7, Egremont, Cumbria, CA22 2RD",CA22 2RD,54.47783779,-3.525697073
Exeter,United Kingdom,"Regus, 1 Emperor Way, Exeter Business Park EX1 3QS
 ",EX1 3QS,50.728,-3.472
Glasgow,United Kingdom,"95 Bothwell Street
Glasgow
G2 7HX",G2 7HX,55.86117,-4.26252
